datetime,open,high,low,close,volume
1984-04-01 03:00:00,1568820000000.0,1568820000000.0,1568820000000.0,1568820000000.0,0.0
1984-05-01 03:00:00,1583749000000.0,1583749000000.0,1583749000000.0,1583749000000.0,0.0
1984-06-01 03:00:00,1591965000000.0,1591965000000.0,1591965000000.0,1591965000000.0,0.0
1984-07-01 03:00:00,1603857000000.0,1603857000000.0,1603857000000.0,1603857000000.0,0.0
1984-08-01 03:00:00,1617813000000.0,1617813000000.0,1617813000000.0,1617813000000.0,0.0
1984-09-01 03:00:00,1631220000000.0,1631220000000.0,1631220000000.0,1631220000000.0,0.0
1984-10-01 03:00:00,1638411000000.0,1638411000000.0,1638411000000.0,1638411000000.0,0.0
1984-11-01 03:00:00,1649653000000.0,1649653000000.0,1649653000000.0,1649653000000.0,0.0
1984-12-01 03:00:00,1661882000000.0,1661882000000.0,1661882000000.0,1661882000000.0,0.0
1985-01-01 03:00:00,1676415000000.0,1676415000000.0,1676415000000.0,1676415000000.0,0.0
1985-02-01 03:00:00,1691806000000.0,1691806000000.0,1691806000000.0,1691806000000.0,0.0
1985-03-01 03:00:00,1700138000000.0,1700138000000.0,1700138000000.0,1700138000000.0,0.0
1985-04-01 03:00:00,1709983000000.0,1709983000000.0,1709983000000.0,1709983000000.0,0.0
1985-05-01 03:00:00,1715317000000.0,1715317000000.0,1715317000000.0,1715317000000.0,0.0
1985-06-01 03:00:00,1722006000000.0,1722006000000.0,1722006000000.0,1722006000000.0,0.0
1985-07-01 03:00:00,1731220000000.0,1731220000000.0,1731220000000.0,1731220000000.0,0.0
1985-08-01 03:00:00,1738364000000.0,1738364000000.0,1738364000000.0,1738364000000.0,0.0
1985-09-01 03:00:00,1746936000000.0,1746936000000.0,1746936000000.0,1746936000000.0,0.0
1985-10-01 03:00:00,1755357000000.0,1755357000000.0,1755357000000.0,1755357000000.0,0.0
1985-11-01 03:00:00,1760581000000.0,1760581000000.0,1760581000000.0,1760581000000.0,0.0
1985-12-01 03:00:00,1784034000000.0,1784034000000.0,1784034000000.0,1784034000000.0,0.0
