datetime,open,high,low,close,volume
2018-05-29 01:00:00,1.0057,1.0147,1.0018,1.0088,0.0
2018-05-30 01:00:00,1.0087,1.0121,1.0067,1.0104,0.0
2018-05-31 01:00:00,1.0104,1.0174,1.0104,1.014,0.0
2018-06-01 01:00:00,1.014,1.0159,1.0091,1.0116,0.0
2018-06-04 01:00:00,1.0121,1.0171,1.0109,1.0117,0.0
2018-06-05 01:00:00,1.0116,1.017,1.011,1.0153,0.0
2018-06-06 01:00:00,1.0151,1.0165,1.0117,1.0138,0.0
2018-06-07 01:00:00,1.0132,1.0213,1.0132,1.02,0.0
2018-06-08 01:00:00,1.0199,1.0203,1.0116,1.015,0.0
2018-06-11 01:00:00,1.015,1.0162,1.013,1.0139,0.0
2018-06-12 01:00:00,1.0141,1.017,1.012,1.0129,0.0
2018-06-13 01:00:00,1.0125,1.016,1.0108,1.0146,0.0
2018-06-14 01:00:00,1.0147,1.0174,1.0029,1.003,0.0
2018-06-15 01:00:00,1.0029,1.0053,1.0013,1.0035,0.0
2018-06-18 01:00:00,1.0021,1.0063,1.0013,1.004,0.0
2018-06-19 01:00:00,1.0039,1.0081,1.0025,1.0048,0.0
2018-06-20 01:00:00,1.0052,1.0062,1.0019,1.0038,0.0
2018-06-21 01:00:00,1.0034,1.0101,1.0016,1.0081,0.0
2018-06-22 01:00:00,1.0084,1.0126,1.0083,1.0113,0.0
2018-06-25 01:00:00,1.012,1.0144,1.0113,1.0125,0.0
2018-06-26 01:00:00,1.0124,1.0142,1.0079,1.0086,0.0
2018-06-27 01:00:00,1.0084,1.0108,1.0024,1.0024,0.0
2018-06-28 01:00:00,1.0029,1.0038,1.001,1.0019,0.0
2018-06-29 01:00:00,1.0019,1.0105,1.0019,1.009,0.0
2018-07-02 01:00:00,1.0091,1.01,1.0036,1.0054,0.0
2018-07-03 01:00:00,1.0058,1.0085,1.0052,1.0073,0.0
2018-07-04 01:00:00,1.0072,1.0093,1.0062,1.0064,0.0
2018-07-05 01:00:00,1.0065,1.0089,1.0058,1.0059,0.0
2018-07-06 01:00:00,1.006,1.0114,1.0058,1.0098,0.0
2018-07-09 01:00:00,1.0097,1.0142,1.0072,1.0076,0.0
2018-07-10 01:00:00,1.0075,1.0089,1.004,1.0078,0.0
2018-07-11 01:00:00,1.0075,1.0093,1.0036,1.004,0.0
2018-07-12 01:00:00,1.0038,1.005,0.9974,0.9974,0.0
2018-07-13 01:00:00,0.997,0.9983,0.9934,0.9977,0.0
2018-07-16 01:00:00,0.998,1.0035,0.9977,1.0025,0.0
2018-07-17 01:00:00,1.0022,1.007,0.9996,0.9996,0.0
2018-07-18 01:00:00,0.9993,1.0015,0.9967,1.0011,0.0
2018-07-19 01:00:00,1.0008,1.0035,0.9959,1.0004,0.0
2018-07-20 01:00:00,1.0003,1.0081,0.9991,1.0069,0.0
2018-07-23 01:00:00,1.0069,1.0098,1.0062,1.007,0.0
2018-07-24 01:00:00,1.0067,1.0076,1.0048,1.0062,0.0
2018-07-25 01:00:00,1.0058,1.0091,1.0053,1.0076,0.0
2018-07-26 01:00:00,1.0078,1.0095,1.0053,1.0054,0.0
2018-07-27 01:00:00,1.0052,1.0067,1.0024,1.0055,0.0
2018-07-30 01:00:00,1.0048,1.0122,1.0046,1.0115,0.0
2018-07-31 01:00:00,1.0111,1.0131,1.0096,1.0096,0.0
2018-08-01 01:00:00,1.0093,1.0097,1.0068,1.0079,0.0
2018-08-02 01:00:00,1.0075,1.0083,1.0043,1.0043,0.0
2018-08-03 01:00:00,1.004,1.0078,1.0037,1.0053,0.0
2018-08-06 01:00:00,1.0053,1.0063,1.0017,1.0031,0.0
2018-08-07 01:00:00,1.003,1.0068,1.003,1.0039,0.0
2018-08-08 01:00:00,1.0035,1.0075,1.0032,1.0066,0.0
2018-08-09 01:00:00,1.0068,1.0104,1.0052,1.0061,0.0
2018-08-10 01:00:00,1.0059,1.007,1.0027,1.0042,0.0
2018-08-13 01:00:00,1.0043,1.0078,1.004,1.0066,0.0
2018-08-14 01:00:00,1.0063,1.0097,1.0052,1.006,0.0
2018-08-15 01:00:00,1.0057,1.0072,1.002,1.0061,0.0
2018-08-16 01:00:00,1.0059,1.0083,1.0027,1.0028,0.0
2018-08-17 01:00:00,1.0027,1.0065,1.0024,1.0042,0.0
2018-08-20 01:00:00,1.0041,1.0088,1.0034,1.0087,0.0
2018-08-21 01:00:00,1.0085,1.0158,1.0085,1.0151,0.0
